theta_rad,theta_deg,A_observable,B_complement,A_plus_B,G_gap
0.1303760951239764,7.47,0.9830981656408574,0.016901834359142637,1.0,0.016616162354438743
0.13116149328737386,7.515,0.9828950882765606,0.01710491172343928,0.9999999999999999,0.016812333718372627
0.13194689145077132,7.5600000000000005,0.9826908194166369,0.01730918058336306,1.0,0.017009572850895587
0.13273228961416877,7.605,0.982485359565099,0.01751464043490087,0.9999999999999999,0.017207877805337002
0.1335176877775662,7.6499999999999995,0.9822787092288991,0.017721290771100948,1.0,0.01740724662450704
0.13430308594096366,7.695,0.9820708689179258,0.017929131082074147,1.0,0.01760767734071595
0.1350884841043611,7.74,0.9818618391450048,0.018138160854995145,1.0,0.017809167975793464
0.13587388226775857,7.785000000000001,0.9816516204258962,0.01834837957410377,0.9999999999999999,0.01801171654110838
0.13665928043115602,7.830000000000001,0.9814402132792936,0.01855978672070621,0.9999999999999999,0.018215321037588106
0.13744467859455345,7.875,0.9812276182268237,0.01877238177317635,1.0,0.018419979455738467
0.1382300767579509,7.92,0.9810138357930429,0.01898616420695706,1.0,0.01862568977566352
0.13901547492134836,7.965000000000001,0.9807988665054387,0.019201133494561404,1.0,0.018832449967085437
0.1398008730847458,8.010000000000002,0.980582710894426,0.019417289105574047,1.0,0.019040257989364602
0.14058627124814324,8.055,0.9803653694933475,0.019634630506652498,1.0,0.019249111791519728
0.1413716694115407,8.1,0.9801468428384714,0.019853157161528464,0.9999999999999999,0.019459009312248112
0.14215706757493815,8.145000000000001,0.9799271314689908,0.02007286853100915,1.0,0.01966994847994597
0.1429424657383356,8.190000000000001,0.9797062359270213,0.020293764072978587,0.9999999999999999,0.01988192721272887
0.14372786390173303,8.235,0.9794841567576009,0.02051584324239897,0.9999999999999999,0.02009494341845228
0.1445132620651305,8.28,0.9792608945086879,0.020739105491312058,1.0,0.020308994994732286
0.14529866022852794,8.325000000000001,0.9790364497311596,0.020963550268840416,1.0,0.020524079828966216
0.1460840583919254,8.370000000000001,0.9788108229788112,0.021189177021188884,1.0,0.020740195798353605
0.14686945655532282,8.415,0.978584014808354,0.021415985191645868,0.9999999999999999,0.02095734076991707
0.14765485471872028,8.46,0.9783560257794152,0.021643974220584755,0.9999999999999999,0.021175512600523416
0.14844025288211773,8.505,0.9781268564545346,0.021873143545465292,0.9999999999999999,0.02139470913690476
0.1492256510455152,8.55,0.9778965073991651,0.02210349260083494,1.0,0.021614928215679775
0.15001104920891262,8.594999999999999,0.9776649791816698,0.022335020818330296,1.0000000000000002,0.021836167663375053
0.15079644737231007,8.64,0.9774322723733215,0.022567727626678524,1.0,0.022058425296446575
